ID,VARIABLE,PARAMETER,VALUE,TIMESTAMP
44,RECO_DT_VUT_REF,YY_USTAR_PERCENTILE,13.75,2019
44,RECO_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0691068,2019
45,GPP_DT_CUT_REF,HH_USTAR_PERCENTILE,-9999,-9999
45,GPP_DT_CUT_REF,HH_USTAR_THRESHOLD,-9999,-9999
46,GPP_DT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2018
46,GPP_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0840252,2018
46,GPP_DT_VUT_REF,HH_USTAR_PERCENTILE,41.25,2019
46,GPP_DT_VUT_REF,HH_USTAR_THRESHOLD,0.0840252,2019
47,GPP_DT_CUT_REF,DD_USTAR_PERCENTILE,-9999,-9999
47,GPP_DT_CUT_REF,DD_USTAR_THRESHOLD,-9999,-9999
48,GPP_DT_VUT_REF,DD_USTAR_PERCENTILE,41.25,2018
48,GPP_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0840252,2018
48,GPP_DT_VUT_REF,DD_USTAR_PERCENTILE,41.25,2019
48,GPP_DT_VUT_REF,DD_USTAR_THRESHOLD,0.0840252,2019
49,GPP_DT_CUT_REF,WW_USTAR_PERCENTILE,-9999,-9999
49,GPP_DT_CUT_REF,WW_USTAR_THRESHOLD,-9999,-9999
50,GPP_DT_VUT_REF,WW_USTAR_PERCENTILE,41.25,2018
50,GPP_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0840252,2018
50,GPP_DT_VUT_REF,WW_USTAR_PERCENTILE,41.25,2019
50,GPP_DT_VUT_REF,WW_USTAR_THRESHOLD,0.0840252,2019
51,GPP_DT_CUT_REF,MM_USTAR_PERCENTILE,-9999,-9999
51,GPP_DT_CUT_REF,MM_USTAR_THRESHOLD,-9999,-9999
52,GPP_DT_VUT_REF,MM_USTAR_PERCENTILE,33.75,2018
52,GPP_DT_VUT_REF,MM_USTAR_THRESHOLD,0.0804638,2018
52,GPP_DT_VUT_REF,MM_USTAR_PERCENTILE,33.75,2019
52,GPP_DT_VUT_REF,MM_USTAR_THRESHOLD,0.0804638,2019
53,GPP_DT_CUT_REF,YY_USTAR_PERCENTILE,-9999,-9999
53,GPP_DT_CUT_REF,YY_USTAR_THRESHOLD,-9999,-9999
54,GPP_DT_VUT_REF,YY_USTAR_PERCENTILE,46.25,2018
54,GPP_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0871687,2018
54,GPP_DT_VUT_REF,YY_USTAR_PERCENTILE,46.25,2019
54,GPP_DT_VUT_REF,YY_USTAR_THRESHOLD,0.0871687,2019
55,USTAR_CUT,USTAR_PERCENTILE,1.25,-9999
55,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
56,USTAR_CUT,USTAR_PERCENTILE,3.75,-9999
56,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
57,USTAR_CUT,USTAR_PERCENTILE,6.25,-9999
57,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
58,USTAR_CUT,USTAR_PERCENTILE,8.75,-9999
58,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
59,USTAR_CUT,USTAR_PERCENTILE,11.25,-9999
59,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
60,USTAR_CUT,USTAR_PERCENTILE,13.75,-9999
60,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
61,USTAR_CUT,USTAR_PERCENTILE,16.25,-9999
61,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
62,USTAR_CUT,USTAR_PERCENTILE,18.75,-9999
62,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
63,USTAR_CUT,USTAR_PERCENTILE,21.25,-9999
63,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
64,USTAR_CUT,USTAR_PERCENTILE,23.75,-9999
64,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
65,USTAR_CUT,USTAR_PERCENTILE,26.25,-9999
65,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
66,USTAR_CUT,USTAR_PERCENTILE,28.75,-9999
66,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
67,USTAR_CUT,USTAR_PERCENTILE,31.25,-9999
67,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
68,USTAR_CUT,USTAR_PERCENTILE,33.75,-9999
68,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
69,USTAR_CUT,USTAR_PERCENTILE,36.25,-9999
69,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
70,USTAR_CUT,USTAR_PERCENTILE,38.75,-9999
70,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
71,USTAR_CUT,USTAR_PERCENTILE,41.25,-9999
71,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
72,USTAR_CUT,USTAR_PERCENTILE,43.75,-9999
72,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
73,USTAR_CUT,USTAR_PERCENTILE,46.25,-9999
73,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
74,USTAR_CUT,USTAR_PERCENTILE,48.75,-9999
74,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
75,USTAR_CUT,USTAR_PERCENTILE,50.00,-9999
75,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
76,USTAR_CUT,USTAR_PERCENTILE,51.25,-9999
76,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
77,USTAR_CUT,USTAR_PERCENTILE,53.75,-9999
77,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
78,USTAR_CUT,USTAR_PERCENTILE,56.25,-9999
78,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
79,USTAR_CUT,USTAR_PERCENTILE,58.75,-9999
79,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
80,USTAR_CUT,USTAR_PERCENTILE,61.25,-9999
80,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
81,USTAR_CUT,USTAR_PERCENTILE,63.75,-9999
81,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
82,USTAR_CUT,USTAR_PERCENTILE,66.25,-9999
82,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
83,USTAR_CUT,USTAR_PERCENTILE,68.75,-9999
83,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
84,USTAR_CUT,USTAR_PERCENTILE,71.25,-9999
84,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
85,USTAR_CUT,USTAR_PERCENTILE,73.75,-9999
85,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
86,USTAR_CUT,USTAR_PERCENTILE,76.25,-9999
86,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
87,USTAR_CUT,USTAR_PERCENTILE,78.75,-9999
87,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
88,USTAR_CUT,USTAR_PERCENTILE,81.25,-9999
88,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
89,USTAR_CUT,USTAR_PERCENTILE,83.75,-9999
89,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
90,USTAR_CUT,USTAR_PERCENTILE,86.25,-9999
90,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
91,USTAR_CUT,USTAR_PERCENTILE,88.75,-9999
91,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
92,USTAR_CUT,USTAR_PERCENTILE,91.25,-9999
92,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
93,USTAR_CUT,USTAR_PERCENTILE,93.75,-9999
93,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
94,USTAR_CUT,USTAR_PERCENTILE,96.25,-9999
94,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
95,USTAR_CUT,USTAR_PERCENTILE,98.75,-9999
95,USTAR_CUT,USTAR_THRESHOLD,-9999,-9999
96,USTAR_VUT,USTAR_PERCENTILE,1.25,2018
96,USTAR_VUT,USTAR_THRESHOLD,0.0500872,2018
97,USTAR_VUT,USTAR_PERCENTILE,3.75,2018
97,USTAR_VUT,USTAR_THRESHOLD,0.0580967,2018
98,USTAR_VUT,USTAR_PERCENTILE,6.25,2018
98,USTAR_VUT,USTAR_THRESHOLD,0.0621788,2018
99,USTAR_VUT,USTAR_PERCENTILE,8.75,2018
99,USTAR_VUT,USTAR_THRESHOLD,0.0644224,2018
100,USTAR_VUT,USTAR_PERCENTILE,11.25,2018
100,USTAR_VUT,USTAR_THRESHOLD,0.0680442,2018
101,USTAR_VUT,USTAR_PERCENTILE,13.75,2018
101,USTAR_VUT,USTAR_THRESHOLD,0.0691068,2018
102,USTAR_VUT,USTAR_PERCENTILE,16.25,2018
102,USTAR_VUT,USTAR_THRESHOLD,0.0706504,2018
103,USTAR_VUT,USTAR_PERCENTILE,18.75,2018
103,USTAR_VUT,USTAR_THRESHOLD,0.071621,2018
104,USTAR_VUT,USTAR_PERCENTILE,21.25,2018
104,USTAR_VUT,USTAR_THRESHOLD,0.0729199,2018
105,USTAR_VUT,USTAR_PERCENTILE,23.75,2018
105,USTAR_VUT,USTAR_THRESHOLD,0.0741034,2018
106,USTAR_VUT,USTAR_PERCENTILE,26.25,2018
106,USTAR_VUT,USTAR_THRESHOLD,0.0752335,2018
107,USTAR_VUT,USTAR_PERCENTILE,28.75,2018
107,USTAR_VUT,USTAR_THRESHOLD,0.0775828,2018
108,USTAR_VUT,USTAR_PERCENTILE,31.25,2018
108,USTAR_VUT,USTAR_THRESHOLD,0.0787948,2018
109,USTAR_VUT,USTAR_PERCENTILE,33.75,2018
109,USTAR_VUT,USTAR_THRESHOLD,0.0804638,2018
110,USTAR_VUT,USTAR_PERCENTILE,36.25,2018
110,USTAR_VUT,USTAR_THRESHOLD,0.0821497,2018
111,USTAR_VUT,USTAR_PERCENTILE,38.75,2018
111,USTAR_VUT,USTAR_THRESHOLD,0.0826967,2018
112,USTAR_VUT,USTAR_PERCENTILE,41.25,2018
112,USTAR_VUT,USTAR_THRESHOLD,0.0840252,2018
113,USTAR_VUT,USTAR_PERCENTILE,43.75,2018
113,USTAR_VUT,USTAR_THRESHOLD,0.0855974,2018
114,USTAR_VUT,USTAR_PERCENTILE,46.25,2018
114,USTAR_VUT,USTAR_THRESHOLD,0.0871687,2018
115,USTAR_VUT,USTAR_PERCENTILE,48.75,2018
115,USTAR_VUT,USTAR_THRESHOLD,0.0881155,2018
116,USTAR_VUT,USTAR_PERCENTILE,50.00,2018
116,USTAR_VUT,USTAR_THRESHOLD,0.0886569,2018
117,USTAR_VUT,USTAR_PERCENTILE,51.25,2018
117,USTAR_VUT,USTAR_THRESHOLD,0.0889414,2018
118,USTAR_VUT,USTAR_PERCENTILE,53.75,2018
118,USTAR_VUT,USTAR_THRESHOLD,0.0914929,2018
119,USTAR_VUT,USTAR_PERCENTILE,56.25,2018
119,USTAR_VUT,USTAR_THRESHOLD,0.092659,2018
120,USTAR_VUT,USTAR_PERCENTILE,58.75,2018
120,USTAR_VUT,USTAR_THRESHOLD,0.0953222,2018
121,USTAR_VUT,USTAR_PERCENTILE,61.25,2018
121,USTAR_VUT,USTAR_THRESHOLD,0.099882,2018
122,USTAR_VUT,USTAR_PERCENTILE,63.75,2018
122,USTAR_VUT,USTAR_THRESHOLD,0.103988,2018
123,USTAR_VUT,USTAR_PERCENTILE,66.25,2018
123,USTAR_VUT,USTAR_THRESHOLD,0.115717,2018
124,USTAR_VUT,USTAR_PERCENTILE,68.75,2018
124,USTAR_VUT,USTAR_THRESHOLD,0.119887,2018
125,USTAR_VUT,USTAR_PERCENTILE,71.25,2018
125,USTAR_VUT,USTAR_THRESHOLD,0.123506,2018
126,USTAR_VUT,USTAR_PERCENTILE,73.75,2018
126,USTAR_VUT,USTAR_THRESHOLD,0.129754,2018
127,USTAR_VUT,USTAR_PERCENTILE,76.25,2018
127,USTAR_VUT,USTAR_THRESHOLD,0.135058,2018
128,USTAR_VUT,USTAR_PERCENTILE,78.75,2018
128,USTAR_VUT,USTAR_THRESHOLD,0.141723,2018
129,USTAR_VUT,USTAR_PERCENTILE,81.25,2018
129,USTAR_VUT,USTAR_THRESHOLD,0.152947,2018
130,USTAR_VUT,USTAR_PERCENTILE,83.75,2018
130,USTAR_VUT,USTAR_THRESHOLD,0.15955,2018
131,USTAR_VUT,USTAR_PERCENTILE,86.25,2018
131,USTAR_VUT,USTAR_THRESHOLD,0.164537,2018
132,USTAR_VUT,USTAR_PERCENTILE,88.75,2018
132,USTAR_VUT,USTAR_THRESHOLD,0.174197,2018
133,USTAR_VUT,USTAR_PERCENTILE,91.25,2018
133,USTAR_VUT,USTAR_THRESHOLD,0.180485,2018
134,USTAR_VUT,USTAR_PERCENTILE,93.75,2018
134,USTAR_VUT,USTAR_THRESHOLD,0.187426,2018
135,USTAR_VUT,USTAR_PERCENTILE,96.25,2018
135,USTAR_VUT,USTAR_THRESHOLD,0.197823,2018
136,USTAR_VUT,USTAR_PERCENTILE,98.75,2018
136,USTAR_VUT,USTAR_THRESHOLD,0.221249,2018
137,USTAR_VUT,USTAR_PERCENTILE,1.25,2019
137,USTAR_VUT,USTAR_THRESHOLD,0.0500872,2019
138,USTAR_VUT,USTAR_PERCENTILE,3.75,2019
138,USTAR_VUT,USTAR_THRESHOLD,0.0580967,2019
139,USTAR_VUT,USTAR_PERCENTILE,6.25,2019
139,USTAR_VUT,USTAR_THRESHOLD,0.0621788,2019
140,USTAR_VUT,USTAR_PERCENTILE,8.75,2019
140,USTAR_VUT,USTAR_THRESHOLD,0.0644224,2019
141,USTAR_VUT,USTAR_PERCENTILE,11.25,2019
141,USTAR_VUT,USTAR_THRESHOLD,0.0680442,2019
142,USTAR_VUT,USTAR_PERCENTILE,13.75,2019
142,USTAR_VUT,USTAR_THRESHOLD,0.0691068,2019
143,USTAR_VUT,USTAR_PERCENTILE,16.25,2019
143,USTAR_VUT,USTAR_THRESHOLD,0.0706504,2019
144,USTAR_VUT,USTAR_PERCENTILE,18.75,2019
144,USTAR_VUT,USTAR_THRESHOLD,0.071621,2019
145,USTAR_VUT,USTAR_PERCENTILE,21.25,2019
145,USTAR_VUT,USTAR_THRESHOLD,0.0729199,2019
146,USTAR_VUT,USTAR_PERCENTILE,23.75,2019
146,USTAR_VUT,USTAR_THRESHOLD,0.0741034,2019
147,USTAR_VUT,USTAR_PERCENTILE,26.25,2019
147,USTAR_VUT,USTAR_THRESHOLD,0.0752335,2019
148,USTAR_VUT,USTAR_PERCENTILE,28.75,2019
148,USTAR_VUT,USTAR_THRESHOLD,0.0775828,2019
149,USTAR_VUT,USTAR_PERCENTILE,31.25,2019
149,USTAR_VUT,USTAR_THRESHOLD,0.0787948,2019
150,USTAR_VUT,USTAR_PERCENTILE,33.75,2019
150,USTAR_VUT,USTAR_THRESHOLD,0.0804638,2019
151,USTAR_VUT,USTAR_PERCENTILE,36.25,2019
151,USTAR_VUT,USTAR_THRESHOLD,0.0821497,2019
152,USTAR_VUT,USTAR_PERCENTILE,38.75,2019
152,USTAR_VUT,USTAR_THRESHOLD,0.0826967,2019
153,USTAR_VUT,USTAR_PERCENTILE,41.25,2019
153,USTAR_VUT,USTAR_THRESHOLD,0.0840252,2019
154,USTAR_VUT,USTAR_PERCENTILE,43.75,2019
154,USTAR_VUT,USTAR_THRESHOLD,0.0855974,2019
155,USTAR_VUT,USTAR_PERCENTILE,46.25,2019
155,USTAR_VUT,USTAR_THRESHOLD,0.0871687,2019
156,USTAR_VUT,USTAR_PERCENTILE,48.75,2019
156,USTAR_VUT,USTAR_THRESHOLD,0.0881155,2019
157,USTAR_VUT,USTAR_PERCENTILE,50.00,2019
157,USTAR_VUT,USTAR_THRESHOLD,0.0886569,2019
158,USTAR_VUT,USTAR_PERCENTILE,51.25,2019
158,USTAR_VUT,USTAR_THRESHOLD,0.0889414,2019
159,USTAR_VUT,USTAR_PERCENTILE,53.75,2019
159,USTAR_VUT,USTAR_THRESHOLD,0.0914929,2019
160,USTAR_VUT,USTAR_PERCENTILE,56.25,2019
160,USTAR_VUT,USTAR_THRESHOLD,0.092659,2019
161,USTAR_VUT,USTAR_PERCENTILE,58.75,2019
161,USTAR_VUT,USTAR_THRESHOLD,0.0953222,2019
162,USTAR_VUT,USTAR_PERCENTILE,61.25,2019
162,USTAR_VUT,USTAR_THRESHOLD,0.099882,2019
163,USTAR_VUT,USTAR_PERCENTILE,63.75,2019
163,USTAR_VUT,USTAR_THRESHOLD,0.103988,2019
164,USTAR_VUT,USTAR_PERCENTILE,66.25,2019
164,USTAR_VUT,USTAR_THRESHOLD,0.115717,2019
165,USTAR_VUT,USTAR_PERCENTILE,68.75,2019
165,USTAR_VUT,USTAR_THRESHOLD,0.119887,2019
166,USTAR_VUT,USTAR_PERCENTILE,71.25,2019
166,USTAR_VUT,USTAR_THRESHOLD,0.123506,2019
167,USTAR_VUT,USTAR_PERCENTILE,73.75,2019
167,USTAR_VUT,USTAR_THRESHOLD,0.129754,2019
168,USTAR_VUT,USTAR_PERCENTILE,76.25,2019
168,USTAR_VUT,USTAR_THRESHOLD,0.135058,2019
169,USTAR_VUT,USTAR_PERCENTILE,78.75,2019
169,USTAR_VUT,USTAR_THRESHOLD,0.141723,2019
170,USTAR_VUT,USTAR_PERCENTILE,81.25,2019
170,USTAR_VUT,USTAR_THRESHOLD,0.152947,2019
171,USTAR_VUT,USTAR_PERCENTILE,83.75,2019
171,USTAR_VUT,USTAR_THRESHOLD,0.15955,2019
172,USTAR_VUT,USTAR_PERCENTILE,86.25,2019
172,USTAR_VUT,USTAR_THRESHOLD,0.164537,2019
173,USTAR_VUT,USTAR_PERCENTILE,88.75,2019
173,USTAR_VUT,USTAR_THRESHOLD,0.174197,2019
174,USTAR_VUT,USTAR_PERCENTILE,91.25,2019
174,USTAR_VUT,USTAR_THRESHOLD,0.180485,2019
175,USTAR_VUT,USTAR_PERCENTILE,93.75,2019
175,USTAR_VUT,USTAR_THRESHOLD,0.187426,2019
176,USTAR_VUT,USTAR_PERCENTILE,96.25,2019
176,USTAR_VUT,USTAR_THRESHOLD,0.197823,2019
177,USTAR_VUT,USTAR_PERCENTILE,98.75,2019
177,USTAR_VUT,USTAR_THRESHOLD,0.221249,2019
